time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-07-22 14:00:00+08:00,117840.84,117270.78,117324.53,1725.29,202891415.28,117840.37,direct,
2025-07-22 15:00:00+08:00,118580.63,117776.28,117840.37,3421.83,404487495.65,117984.2,direct,
2025-07-22 16:00:00+08:00,118342.81,117485.74,117984.2,2098.69,247340625.91,118288.26,direct,
2025-07-22 17:00:00+08:00,118648.89,117872.38,118288.26,1946.5,230254370.61,118394.32,direct,
2025-07-22 18:00:00+08:00,118952.34,118301.29,118394.32,1600.84,189882510.97,118952.34,direct,
2025-07-22 19:00:00+08:00,119185.04,118777.87,118952.34,2639.48,314077270.84,119146.53,direct,
2025-07-22 20:00:00+08:00,119408.91,119035.79,119146.53,1938.33,231150461.14,119281.77,direct,
2025-07-22 21:00:00+08:00,119579.7,118033.29,119281.77,4837.43,575440035.77,118148.86,direct,
2025-07-22 22:00:00+08:00,119121.14,117553.18,118148.86,3764.18,445523175.54,119060.62,direct,
2025-07-22 23:00:00+08:00,119181.28,118695.28,119060.62,2071.62,246548627.28,118909.62,direct,
2025-07-23 00:00:00+08:00,119365.56,118620.37,118909.62,2174.28,258774950.29,118679.17,direct,
2025-07-23 01:00:00+08:00,119216.21,118386.36,118679.17,1883.16,223814458.73,119203.85,direct,
2025-07-23 02:00:00+08:00,120197.18,119062.74,119203.85,3793.89,453763210.83,119742.56,direct,
2025-07-23 03:00:00+08:00,119918.99,119099.44,119742.56,2065.47,246824234.66,119281.6,direct,
2025-07-23 04:00:00+08:00,119899.6,119202.95,119281.6,1900.67,227433150.44,119700.26,direct,
2025-07-23 05:00:00+08:00,119767.74,119399.04,119700.26,827.92,98990318.54,119399.04,direct,
2025-07-23 06:00:00+08:00,120024.76,119393.71,119399.04,1339.39,160458938.91,119838.98,direct,
2025-07-23 07:00:00+08:00,120242.23,119826.07,119838.98,1293.53,155265701.23,119954.35,direct,
2025-07-23 08:00:00+08:00,120091.32,119501.45,119954.35,1076.05,128912260.81,119550.89,direct,
2025-07-23 09:00:00+08:00,119675.35,119390.22,119550.89,1075.61,128548454.61,119490.35,direct,
2025-07-23 10:00:00+08:00,119528.69,118982.94,119490.35,2763.87,329522735.5,119092.5,direct,
2025-07-23 11:00:00+08:00,119116.03,118525.33,119092.5,1202.34,142898157.16,118612.72,direct,
2025-07-23 12:00:00+08:00,118996.69,118574.29,118612.72,1496.06,177720070.8,118995.64,direct,
2025-07-23 13:00:00+08:00,119011.94,118619.04,118995.64,1210.71,143871641.0,118648.41,direct,
2025-07-23 14:00:00+08:00,118718.67,118372.29,118648.41,1152.81,136623051.4,118421.92,direct,
